# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	6297
#@/user_id	0f69583d-8a17-42ac-93db-e15cc74941e5
A T I H 	ATIH	c=1 d=1 t=5318
sui bian 	随便	c=1 d=1 t=3339
sui ji 	随机	c=1 d=1 t=3589
suo de 	所得	c=2 d=1.99501 t=1365
suo fang 	缩放	c=1 d=1 t=173
suo xie 	缩写	c=2 d=1.99501 t=4234
suo yi 	所以	c=4 d=1.0126 t=3445
suo you 	所有	c=5 d=2.00851 t=2617
ta 	他	c=2 d=0.158824 t=6297
ta 	她	c=4 d=2.59329 t=4688
ta de 	他的	c=2 d=1 t=5684
ta jiao 	他叫	c=1 d=1 t=6022
ta ma 	她妈	c=1 d=1 t=4626
ta men 	他们	c=1 d=1 t=3900
ta suo 	他所	c=0 d=0.1 t=2604
ta suo zai 	他所在	c=1 d=1 t=2605
ta ying gai 	他应该	c=1 d=1 t=1902
tai 	太	c=2 d=1.2658 t=6091
tai fu za 	太复杂	c=1 d=1 t=4763
tai gao 	太高	c=1 d=1 t=5170
tai hao 	太好	c=0 d=0.0802518 t=6297
tai kuai 	太快	c=1 d=1 t=5090
tai tai 	太太	c=1 d=1 t=4757
tan 	谈	c=1 d=1 t=3738
tan chu 	弹出	c=1 d=1 t=4158
tan suan 	碳酸	c=1 d=1 t=4897
tang 	堂	c=1 d=1 t=4736
tao 	套	c=1 d=1 t=1236
te shu 	特殊	c=1 d=1 t=5165
te xing 	特性	c=1 d=1 t=4016
ti 	提	c=1 d=1 t=3231
ti dai pin 	替代品	c=2 d=1.99501 t=463
ti huan 	替换	c=1 d=1 t=1056
ti ji ao 	替吉奥	c=1 d=1 t=2862
ti jia 	提价	c=1 d=1 t=2706
ti jiao 	提交	c=7 d=1.19201 t=4058
ti jiao dao 	提交到	c=1 d=1 t=2449
ti qian 	提前	c=1 d=1 t=4360
ti qu 	提取	c=2 d=1.00029 t=5852
ti shi 	提示	c=8 d=1 t=4159
ti wen 	提问	c=1 d=1 t=4336
ti yan 	体验	c=1 d=1 t=3825
tian 	田	c=1 d=1 t=132
tian chong 	填充	c=1 d=1 t=5335
tian fu 	天赋	c=1 d=1 t=4510
tian jia 	添加	c=14 d=1.04495 t=6269
tian jia ai 	添加爱	c=1 d=1 t=2190
tian ru 	填入	c=1 d=1 t=5334
tiao 	条	c=3 d=1.01608 t=5625
tiao 	调	c=2 d=1.76721 t=3350
tiao 	跳	c=1 d=1 t=5835
tiao cheng 	调成	c=1 d=1 t=3628
tiao jian 	条件	c=1 d=1 t=4223
tiao shi 	调试	c=2 d=1.03526 t=3360
tiao zheng 	调整	c=2 d=1 t=5903
tiao zhuan 	跳转	c=2 d=1.00035 t=5263
ting 	听	c=1 d=1 t=4569
ting hao yong 	挺好用	c=1 d=1 t=1444
ting shuo 	听说	c=1 d=1 t=1381
ting zhi 	停止	c=1 d=1 t=1118
tong 	同	c=3 d=1.00745 t=5580
tong bu 	同步	c=3 d=0.822834 t=6297
tong ce suo 	通厕所	c=1 d=1 t=4212
tong guo 	通过	c=4 d=1.13955 t=4400
tong ji 	统计	c=1 d=1 t=6073
tong ji bie 	同级别	c=1 d=1 t=2614
tong shi 	同事	c=1 d=1 t=4409
tong shi 	同时	c=2 d=1 t=4331
tong xiu 	铜锈	c=1 d=1 t=4491
tong yang 	同样	c=1 d=1 t=389
tong yi 	同一	c=3 d=1.02832 t=3349
tong yi 	统一	c=2 d=1.00002 t=3359
tong yi ci 	同义词	c=1 d=1 t=1334
tong yi de 	统一的	c=1 d=1 t=1142
tong yi ge 	同一个	c=1 d=1 t=5438
tong yi jie 	同一届	c=1 d=1 t=4617
tong zhi 	通知	c=1 d=1 t=5202
tou 	头	c=2 d=1.01786 t=1050
tou 	投	c=2 d=1.80252 t=5786
tou da 	头大	c=1 d=1 t=5082
tou jian 	头键	c=1 d=1 t=2123
tou ming du 	透明度	c=2 d=1.9802 t=5957
tou xiang 	头像	c=2 d=1.99501 t=1938
tou xu 	头绪	c=1 d=1 t=1406
tu 	图	c=9 d=1.99005 t=4855
tu biao 	图标	c=3 d=1.97531 t=6242
tu biao 	图表	c=14 d=2.40153 t=6178
tu biao de 	图表的	c=1 d=1 t=2113
tu chu 	突出	c=3 d=2.77703 t=3114
tu pian 	图片	c=3 d=1.00583 t=1941
tu ran 	突然	c=1 d=1 t=4752
tui chu 	推出	c=1 d=1 t=1116
tui jian 	推荐	c=1 d=1 t=1553
tuo zhuai 	拖拽	c=3 d=1.89137 t=5129
wa 	哇	c=2 d=1.00002 t=6121
wai guo 	外国	c=2 d=1.00257 t=4329
wan 	玩	c=2 d=1 t=3779
wan cheng 	完成	c=9 d=3.18709 t=5198
wan er ni 	玩儿腻	c=0 d=0.081873 t=6297
wan er ni ta 	玩儿腻他	c=1 d=0.822834 t=6297
wan fa 	玩法	c=1 d=1 t=5166
wan shang 	晚上	c=2 d=1.84789 t=253
wan wan 	玩玩	c=1 d=1 t=4500
wan you xi 	玩游戏	c=1 d=1 t=4506
wan zheng 	完整	c=1 d=1 t=1992
wang 	王	c=1 d=1 t=5802
wang ji 	忘记	c=3 d=1.63445 t=4698
wang lao ban 	王老板	c=3 d=2.76496 t=5790
wang pan 	网盘	c=1 d=1 t=520
wang zhan 	网站	c=1 d=1 t=2021
wang zhi 	网址	c=1 d=1 t=2807
wei 	为	c=20 d=1.40445 t=6026
wei 	位	c=1 d=1 t=5226
wei sha 	为啥	c=1 d=1 t=5156
wei shen me 	为什么	c=9 d=1.0001 t=6059
wei sheng jian 	卫生间	c=1 d=1 t=1541
wei shu 	位数	c=1 d=1 t=987
wei ti 	为题	c=1 d=0.923116 t=6297
wei xiao 	微笑	c=2 d=1.00099 t=5661
wei xin 	微信	c=20 d=1.06345 t=5179
wei zhi 	位置	c=9 d=1.90166 t=5782
wei zhun 	为准	c=3 d=1 t=6068
wen 	问	c=3 d=1.00066 t=5791
wen an 	文案	c=2 d=1.86936 t=315
wen dang 	文档	c=4 d=1.00638 t=5559
wen ge 	文革	c=1 d=1 t=1798
wen ge 	问个	c=1 d=1 t=1799
wen jian 	文件	c=14 d=1 t=6297
wen ti 	问题	c=10 d=3.86526 t=6297
wen wen 	问问	c=1 d=1 t=86
wen zhang 	文章	c=3 d=2.64858 t=3141
wen zi 	文字	c=4 d=1.16903 t=1573
wo 	喔	c=3 d=1.36249 t=5286
wo 	我	c=47 d=2.92081 t=6148
wo ai 	我爱	c=1 d=1 t=869
wo an 	我按	c=1 d=1 t=1781
wo bang ni 	我帮你	c=1 d=1 t=838
wo de 	我的	c=5 d=1.00609 t=4710
wo deng ni 	我等你	c=1 d=1 t=249
wo fa gei ni 	我发给你	c=1 d=1 t=667
wo gei 	我给	c=1 d=1 t=80
wo guo nian 	我过年	c=1 d=1 t=4581
wo hai mei you 	我还没有	c=1 d=1 t=4080
wo hou 	我后	c=1 d=1 t=1186
wo hou mian 	我后面	c=1 d=1 t=1187
wo jia 	我家	c=1 d=1 t=4730
wo jin tian 	我今天	c=1 d=1 t=2772
wo jiu shuo 	我就说	c=1 d=1 t=3777
wo jue 	我觉	c=1 d=0.802518 t=6297
wo jue de 	我觉得	c=4 d=1.67604 t=4652
wo ke neng 	我可能	c=1 d=1 t=2229
wo ke yi 	我可以	c=3 d=1.00229 t=4370
wo lai 	我来	c=1 d=1 t=1766
wo mao si 	我貌似	c=1 d=1 t=5702
wo me 	我么	c=0 d=0.0965606 t=6297
wo mei you 	我没有	c=1 d=1 t=4460
wo men 	我们	c=5 d=1.00253 t=6023
wo ming zi 	我名字	c=1 d=1 t=4605
wo qu 	我去	c=2 d=1.34819 t=5942
wo rang 	我让	c=1 d=1 t=271
wo shen qing 	我申请	c=2 d=1.00919 t=4353
wo shi 	我是	c=4 d=1.21278 t=4672
wo shuo 	我说	c=0 d=0.1 t=1693
wo shuo er duo 	我说耳朵	c=1 d=1 t=1694
wo tan 	我谈	c=1 d=1 t=3735
wo xiang 	我想	c=4 d=1.00344 t=4363
wo xiu gai 	我修改	c=1 d=1 t=1125
wo xu yao 	我需要	c=5 d=1.00121 t=4267
wo yao 	我要	c=4 d=1.01084 t=4325
wo ye 	我也	c=5 d=1.3136 t=6028
wo ye shi 	我也是	c=1 d=1 t=3540
wo yi ba 	我一把	c=1 d=1 t=4511
wo yi jing 	我已经	c=1 d=1 t=2674
wo yi wei 	我以为	c=1 d=1 t=2875
wo ying gai 	我应该	c=3 d=1.04438 t=4332
wo yong 	我用	c=2 d=1.00002 t=6145
wo yong de 	我用的	c=1 d=1 t=4466
wo you 	我又	c=1 d=1 t=3230
wo zai 	我在	c=3 d=1.16135 t=3719
wo zhao zhao 	我找找	c=2 d=1.00054 t=4683
wo zhe bian 	我这边	c=2 d=1.28508 t=3451
wo zhe li 	我这里	c=1 d=1 t=5671
wo zhe yang 	我这样	c=1 d=1 t=4306
wo zheng li 	我整理	c=1 d=1 t=402
wo zhi 	我只	c=1 d=1 t=362
wo zhi jie 	我直接	c=2 d=1 t=4345
wo zhi qian 	我之前	c=1 d=1 t=2380
wo zhi you 	我只有	c=2 d=1.97045 t=681
wo zhun 	我准	c=1 d=1 t=472
wo zi 	我自	c=0 d=0.1 t=2385
wo zi a 	我自啊	c=1 d=1 t=2386
wo zui da 	我最大	c=1 d=1 t=4731
wu bai duo 	五百多	c=1 d=1 t=4513
wu fa 	无法	c=1 d=1 t=503
wu tiao 	五条	c=1 d=1 t=4955
wu tou 	无头	c=2 d=1 t=5066
wu xian 	无线	c=1 d=1 t=6097
wu xiao 	无效	c=1 d=1 t=962
xi 	喜	c=1 d=1 t=597
xi fu 	吸附	c=1 d=1 t=1672
xi gai 	膝盖	c=1 d=1 t=3554
xi jie 	细节	c=1 d=1 t=572
xi qing 	喜庆	c=1 d=1 t=3105
xi shou jian 	洗手间	c=1 d=1 t=1542
xi tong 	系统	c=3 d=1.03272 t=5204
xi zai 	喜在	c=1 d=1 t=2560
xia 	下	c=4 d=1.99126 t=3958
xia hua xian 	下划线	c=1 d=1 t=4992
xia lai 	下来	c=1 d=1 t=2539
xia mian 	下面	c=4 d=1 t=5611
xia zai 	下载	c=5 d=0.995012 t=6297
xian 	先	c=6 d=1.00981 t=6052
xian 	线	c=1 d=1 t=5626
xian gao 	先搞	c=1 d=1 t=5251
xian shi 	显示	c=29 d=1.44239 t=6129
xian tiao 	线条	c=4 d=1.93274 t=4984
xian zai 	现在	c=20 d=2.4201 t=5918
xiang 	像	c=2 d=1.54607 t=4532
xiang 	想	c=4 d=1.03744 t=5814
xiang 	相	c=1 d=1 t=4590
xiang bu chu 	想不出	c=1 d=1 t=3805
xiang cha 	相差	c=1 d=1 t=5870
xiang mu 	项目	c=7 d=1.09775 t=5378
xiang mu de 	项目的	c=1 d=1 t=2295
xiang rang 	想让	c=1 d=1 t=1319
xiang shi 	相识	c=1 d=1 t=1551
xiang su 	像素	c=1 d=1 t=1158
xiang tong 	相同	c=2 d=1.97531 t=2648
xiang ying 	响应	c=1 d=1 t=3867
xiang ying 	相应	c=1 d=1 t=244
xiao 	小	c=3 d=1.02277 t=5562
xiao dao 	小道	c=1 d=1 t=5799
xiao dao 	笑到	c=1 d=1 t=1442
xiao de 	小的	c=3 d=1.95123 t=5585
xiao guo 	效果	c=4 d=1.00005 t=5622
xiao hong shu 	小红书	c=1 d=1 t=6160
xiao ku 	笑哭	c=8 d=1.29171 t=4645
xiao mie 	消灭	c=1 d=1 t=733
xiao qiao 	小巧	c=1 d=1 t=1446
xiao shi 	小时	c=2 d=1.00181 t=4916
xiao shi 	消失	c=1 d=1 t=1587
xiao tu biao 	小图标	c=1 d=1 t=5613
xiao wen ti 	小问题	c=1 d=1 t=1667
xiao xi 	消息	c=1 d=1 t=5800
xiao xie 	小写	c=1 d=1 t=78
xiao yu 	小于	c=1 d=1 t=4844
xie 	些	c=3 d=1 t=5236
xie 	写	c=13 d=1.9876 t=5235
xie dao 	写到	c=2 d=1.99005 t=5507
xie fa 	写法	c=1 d=1 t=5842
xie he 	协和	c=1 d=1 t=5005
xie le 	写了	c=1 d=1 t=3354
xie wan 	写完	c=1 d=1 t=2092
xie xie 	谢谢	c=4 d=1.00003 t=4485
xie yi ge 	写一个	c=4 d=1.00352 t=6078
xie zai 	写在	c=1 d=1 t=2828
xie zai 	卸载	c=2 d=1.99005 t=3941
xin 	新	c=9 d=1.00009 t=3147
xin de 	新的	c=3 d=1.00202 t=5297
xin jiang 	新疆	c=1 d=1 t=949
xin shui 	薪水	c=3 d=2.92712 t=3715
xin xi 	信息	c=2 d=1.00029 t=3657
xin zeng 	新增	c=8 d=1.00044 t=6167
xing 	性	c=1 d=1 t=2102
xing 	行	c=1 d=1 t=3216
xing neng 	性能	c=4 d=2.91119 t=6124
xing shi 	形式	c=1 d=1 t=4342
xing wei 	行为	c=2 d=1 t=4889
xiong di 	兄弟	c=1 d=1 t=4737
xiu fu 	修复	c=4 d=1.00253 t=3850
xiu ga 	修尬	c=1 d=1 t=1946
xiu gai 	修改	c=30 d=2.39126 t=6218
xiu gai cheng 	修改成	c=1 d=1 t=3555
xu hao 	序号	c=1 d=1 t=2816
xu ke zheng 	许可证	c=1 d=1 t=2803
xu qiu 	需求	c=4 d=1.96079 t=5558
xu xian 	虚线	c=5 d=3.83072 t=4779
xu yao 	需要	c=20 d=1.10305 t=5679
xu yao wo 	需要我	c=1 d=1 t=4040
xu zhong 	许中	c=2 d=1 t=4253
xuan 	选	c=3 d=1 t=5081
xuan ran 	渲染	c=2 d=1.00003 t=5403
xuan xiang 	选项	c=1 d=1.00001 t=2340
xuan ze 	选择	c=1 d=1 t=1088
xuan ze quan 	选择权	c=1 d=1 t=5981
xuan zhong 	选中	c=15 d=2.61294 t=6126
xuan zhong de 	选中的	c=2 d=1.27804 t=5848
xuan zhuan 	旋转	c=1 d=1 t=3553
xue 	学	c=1 d=1 t=2022
xue xi 	学习	c=1 d=1 t=3790
xue yuan 	学院	c=1 d=1 t=4615
xun huan 	循环	c=1 d=1 t=1585
ya 	呀	c=11 d=2.93978 t=5929
ya li 	压力	c=1 d=1 t=3384
ya li 	鸭梨	c=2 d=1.99005 t=3940
ya suo 	压缩	c=5 d=2.40902 t=1036
yan 	眼	c=2 d=1.07065 t=2208
yan ji 	岩击	c=1 d=1 t=2762
yan jiu 	研究	c=2 d=1.00005 t=2763
yan se 	颜色	c=29 d=6.15159 t=6038
yan shi 	演示	c=1 d=1 t=4255
yan zheng 	验证	c=2 d=1.21438 t=412
yan zheng ma 	验证码	c=7 d=1.00001 t=3249
yan zhi 	颜值	c=1 d=1 t=1448
yang 	样	c=1 d=1 t=3765
yang shi 	样式	c=17 d=1.27643 t=6132
yang yu lan 	杨玉兰	c=1 d=1 t=1306
yao 	要	c=21 d=1.00822 t=6031
yao ba 	要把	c=1 d=1 t=2631
yao bi 	要比	c=1 d=1 t=4422
yao dao 	要到	c=1 d=1 t=6233
yao de 	要的	c=1 d=1 t=2068
yao qian 	要钱	c=1 d=1 t=3308
yao qing 	邀请	c=1 d=1 t=1907
yao qiu 	要求	c=3 d=1.65994 t=5331
yao shi 	要是	c=2 d=1 t=3523
yao yong 	要用	c=1 d=1 t=2058
yao you 	要有	c=2 d=1.99501 t=3108
yao zai 	要在	c=1 d=1 t=2867
yao zou 	要走	c=1 d=1 t=5734
ye 	也	c=8 d=1.33309 t=4744
ye bu cha 	也不差	c=1 d=1 t=2982
ye mei you 	也没有	c=1 d=1 t=3921
ye mian 	页面	c=18 d=1.04775 t=5260
ye neng 	也能	c=2 d=1.00109 t=4553
ye wu 	业务	c=2 d=1.99005 t=170
ye xing 	也行	c=1 d=1 t=4252
ye you 	也有	c=3 d=1 t=5058
ye zhu 	业主	c=4 d=2.46884 t=5813
ye zu 	业祖	c=2 d=1.79453 t=5812
yi 	一	c=1 d=1 t=206
yi 	亿	c=2 d=1.12431 t=1143
yi 	以	c=5 d=1.85171 t=6065
yi ba 	一把	c=1 d=1 t=4512
yi ban 	一半	c=1 d=1 t=4208
yi ban 	一般	c=2 d=1.00009 t=4207
yi chang 	异常	c=1 d=1 t=4851
yi ci 	一次	c=5 d=1.0002 t=6108
yi dian 	一点	c=6 d=1.60051 t=5512
yi dui 	一堆	c=1 d=1 t=2503
yi ge 	一个	c=59 d=1.14199 t=6241
yi ge yue 	一个月	c=1 d=1 t=3977
yi gong 	一共	c=3 d=1.01734 t=4953
yi hang 	一行	c=1 d=1 t=1030
yi hou 	以后	c=2 d=1.69073 t=4518
yi ji 	以及	c=3 d=1.00049 t=4903
yi jie 	一届	c=1 d=1 t=4601
yi jing 	已经	c=10 d=1.00075 t=4571
yi kai shi 	一开始	c=3 d=1.96079 t=4133
yi kuan 	一款	c=1 d=1 t=3092
yi lai 	依赖	c=3 d=1 t=3942
yi lei 	一类	c=1 d=1 t=4566
yi liao 	医疗	c=1 d=1 t=5018
yi miao 	一秒	c=1 d=1 t=5128
yi na ge 	以哪个	c=1 d=1 t=1832
yi ni 	以你	c=1 d=1 t=4928
yi nian 	一年	c=2 d=1.00499 t=4751
yi qi 	一起	c=1 d=1 t=2624
yi qian 	以前	c=1 d=1 t=4713
yi quan 	一圈	c=1 d=1 t=1951
yi que ding 	以确定	c=1 d=1 t=4367
yi se lie 	以色列	c=4 d=1 t=4402
yi shang 	以上	c=2 d=1.00052 t=5718
yi si 	意思	c=8 d=1.92348 t=6266
yi tao 	一套	c=3 d=2.7492 t=1794
yi wan 	一万	c=1 d=1 t=1434
yi wei 	以为	c=1 d=1 t=4542
yi xia 	一下	c=21 d=1.00335 t=6273
yi xia 	以下	c=4 d=2.33551 t=4482
yi xiang 	一项	c=1 d=1 t=5425
yi xie 	一些	c=9 d=1.00965 t=5619
yi yang 	一样	c=4 d=1.34132 t=5601
yi yuan 	医院	c=7 d=5.094 t=5085
yi zhi 	一直	c=1 d=1 t=1350
yi zhong 	一种	c=1 d=1 t=328
yin cang 	隐藏	c=6 d=3.5493 t=5615
yin gai 	应该	c=3 d=1.00007 t=3645
yin liao 	饮料	c=1 d=1 t=4898
yin ru 	引入	c=1 d=1 t=2789
yin su 	因素	c=1 d=1 t=5283
yin wei 	因为	c=7 d=1.00825 t=5517
yin wen 	引文	c=1 d=0.810585 t=6297
ying 	应	c=1 d=1 t=3300
ying gai 	应该	c=9 d=1.00089 t=6113
ying jian 	硬件	c=1 d=1 t=5168
ying wen 	英文	c=12 d=2.71164 t=4335
ying yong 	应用	c=2 d=1 t=3961
ying yu 	英语	c=4 d=1 t=5720
yong 	用	c=29 d=1.90256 t=6297
yong dao 	用到	c=2 d=1.00097 t=2079
yong guo 	用过	c=1 d=1 t=1690
yong hu 	用户	c=3 d=1.9802 t=4300
yong lai 	用来	c=1 d=1 t=5896
yong you 	拥有	c=1 d=1 t=4163
yong yu 	用于	c=2 d=1.99501 t=2895
yong zhong 	臃肿	c=1 d=1 t=3
you 	又	c=7 d=1.00523 t=5834
you 	右	c=2 d=1.14016 t=3633
you 	有	c=54 d=1.61848 t=6297
you ai 	有爱	c=0 d=0.1 t=3127
you bian 	右边	c=1 d=1 t=5036
you dian 	有点	c=1 d=1 t=4643
you er 	幼儿	c=1 d=1 t=2017
you ge 	有个	c=1 d=1 t=4732
you guan 	有关	c=1 d=1 t=385
you hou 	油猴	c=3 d=1.98511 t=5113
you hua 	优化	c=8 d=3.85566 t=5882
you jian 	邮件	c=3 d=2.8696 t=840
you kong 	有空	c=3 d=1.00003 t=3392
you mei you 	有没有	c=4 d=1.12043 t=5798
you na xie 	有哪些	c=1 d=1 t=4368
you ren 	有人	c=1 d=1 t=5741
you shang 	右上	c=2 d=1.00007 t=5162
you shen me 	有什么	c=2 d=1.00012 t=5281
you shi 	优势	c=1 d=1 t=388
you shi jian 	有时间	c=1 d=1 t=3728
you wo me 	有我么	c=1 d=0.970446 t=6297
you xia jiao 	右下角	c=1 d=1 t=5104
you xian 	优先	c=1 d=1 t=3195
you xian ji 	优先级	c=2 d=1.90032 t=4559
you xiang 	邮箱	c=21 d=1.00001 t=4480
you xiao xing 	有效性	c=1 d=1 t=3639
you xie 	有些	c=3 d=1.00091 t=4351
you xiu 	优秀	c=1 d=1 t=5524
you xu 	有序	c=1 d=1 t=1078
you ya 	优雅	c=4 d=2.75524 t=5409
you yao 	又要	c=1 d=1 t=4564
you yi ge 	有一个	c=1 d=1 t=294
you yi xie 	有一些	c=1 d=1 t=3158
you zhu 	有助	c=1 d=1 t=397
you zhu yu 	有助于	c=1 d=1 t=378
yu 	与	c=2 d=1 t=2896
yu 	于	c=1 d=1 t=398
yu 	愉	c=1 d=1 t=5276
yu fa 	语法	c=1 d=1 t=161
yu ju 	语句	c=1 d=1 t=2717
yu lan 	预览	c=14 d=1.24806 t=3551
yu qi 	预期	c=1 d=1 t=2442
yu xian 	预先	c=1 d=1 t=4371
yu yan 	语言	c=5 d=1.00081 t=3110
yuan cheng 	远程	c=5 d=1.00101 t=3837
yuan dian 	原点	c=2 d=1.97045 t=3537
yuan dian 	圆点	c=1 d=1 t=4782
yuan jiao 	圆角	c=5 d=1.01546 t=6138
yuan lai 	原来	c=1 d=1 t=2866
yuan quan 	圆圈	c=2 d=1.0007 t=3408
yuan sheng 	原生	c=3 d=1.02423 t=5976
yuan shi 	原始	c=1 d=1 t=105
yuan su 	元素	c=13 d=4.72784 t=5143
yuan su de 	元素的	c=1 d=1 t=2258
yuan xing 	原型	c=3 d=1.00001 t=6015
yuan xing 	圆形	c=15 d=2.12645 t=6177
yuan yin 	原因	c=1 d=1 t=5535
yue 	月	c=1 d=1 t=3688
yue fen 	月份	c=1 d=1 t=6234
yue nei 	月内	c=1 d=1 t=3541
yun 	云	c=1 d=1 t=518
yun xing 	运行	c=12 d=4.1826 t=6094
yun xu 	允许	c=1 d=1 t=6278
yun yong 	运用	c=1 d=1 t=382
za gao 	咋搞	c=2 d=1.09163 t=1882
za yang 	咋样	c=1 d=1 t=4656
zai 	再	c=11 d=1.32285 t=5482
zai 	在	c=54 d=2.9829 t=6223
zai bu zai 	在不在	c=1 d=1 t=426
zai kuai 	再快	c=1 d=1 t=4501
zai zhe ge 	在这个	c=1 d=1 t=2914
zai zhe li 	在这里	c=1 d=1 t=3943
zan shi 	暂时	c=2 d=1 t=6230
zao 	早	c=1 d=1 t=4431
zao qi 	早期	c=1 d=1 t=399
zao shang 	早上	c=6 d=1.03582 t=4384
zao shang hao 	早上好	c=1 d=1 t=4391
zei 	贼	c=1 d=1 t=3827
zen me 	怎么	c=30 d=1.1399 t=6140
zen me kan 	怎么看	c=1 d=1 t=4380
zen me yang 	怎么样	c=2 d=1.00003 t=5795
zeng jia 	增加	c=2 d=1.71177 t=2731
zhan 	占	c=1 d=1 t=3411
zhan tie 	粘贴	c=3 d=1 t=4377
zhang 	长	c=2 d=1 t=4490
zhang hao 	账号	c=5 d=2.20986 t=4472
zhang hu 	账户	c=2 d=1.9802 t=4148
zhao 	找	c=6 d=1.98349 t=5423
zhao dao 	找到	c=6 d=1.49907 t=5855
zhao pian 	照片	c=2 d=1 t=4677
zhao pin 	招聘	c=1 d=1 t=5805
zhao zhao 	找找	c=1 d=1 t=5534
zhe 	折	c=1 d=1 t=135
zhe 	着	c=1 d=1 t=5667
zhe 	这	c=14 d=1.00014 t=6090
zhe ci 	这次	c=1 d=1 t=691
zhe ge 	这个	c=61 d=3.93645 t=6297
zhe jiu shi 	这就是	c=1 d=1 t=3543
zhe kuai 	这块	c=2 d=1.45841 t=6139
zhe li 	这里	c=25 d=2.8606 t=6190
zhe li mian 	这里面	c=1 d=1 t=6200
zhe me duo 	这么多	c=2 d=1.10753 t=4358
zhe me duo ren 	这么多人	c=1 d=1 t=3822
zhe me kuai 	这么快	c=1 d=1 t=6232
zhe me shuo 	这么说	c=1 d=1 t=4675
zhe shi 	这是	c=2 d=1.05287 t=3048
zhe tiao 	这条	c=2 d=1.96561 t=2716
zhe wo jiu 	这我就	c=1 d=1 t=4668
zhe xian 	折线	c=3 d=2.55375 t=4852
zhe xie 	这些	c=3 d=1.22404 t=4936
zhe yang 	这样	c=7 d=1.1309 t=5861
zhe zhi 	这只	c=1 d=1 t=3056
zhe zhong 	折中	c=1 d=1 t=3202
zhe zhong 	这种	c=2 d=1.03976 t=4413
zhen 	真	c=3 d=2.85143 t=3890
zhen 	镇	c=1 d=1 t=4705
zhen de 	真的	c=3 d=1.00613 t=5736
zhen liao 	诊疗	c=1 d=1 t=2805
zheng 	正	c=1 d=1 t=5035
zheng fu 	政府	c=1 d=1 t=1369
zheng fu 	正副	c=1 d=1 t=5002
zheng ge 	整个	c=3 d=1.12682 t=4519
zheng li 	整理	c=3 d=1.0876 t=6039
zheng que 	正确	c=7 d=1.03162 t=4308
zheng yi zhi yan bi yi zhi yan 	睁一只眼闭一只眼	c=1 d=1 t=4406
zhi 	值	c=8 d=1.38725 t=5375
zhi 	只	c=5 d=1.08549 t=5487
zhi biao 	指标	c=4 d=1.00365 t=6179
zhi dao 	知道	c=3 d=1.13466 t=4669
zhi ding 	指定	c=1 d=1 t=2994
zhi hou 	之后	c=7 d=2.13218 t=5595
zhi jian 	之间	c=2 d=1 t=6225
zhi jie 	直接	c=18 d=1.81788 t=5822
zhi lei 	之类	c=1 d=1 t=6048
zhi neng 	只能	c=3 d=1.00412 t=5250
zhi qian 	之前	c=13 d=1.5421 t=6187
zhi shi 	只是	c=1 d=1 t=3810
zhi wei 	职位	c=1 d=1 t=957
zhi xian shi 	只显示	c=1 d=1 t=4778
zhi xing 	执行	c=3 d=1.01384 t=6074
zhi ye 	执业	c=1 d=1 t=2802
zhi yong 	只用	c=1 d=1 t=650
zhi you 	只有	c=8 d=1.09035 t=5313
zhong 	中	c=13 d=2.17768 t=6262
zhong de 	中的	c=2 d=1 t=5174
zhong duan 	终端	c=1 d=1 t=5280
zhong guo 	中国	c=1 d=1 t=2226
zhong jian 	中间	c=6 d=1 t=4960
zhong wei 	中位	c=1 d=1 t=3065
zhong wen 	中文	c=8 d=0.839457 t=6297
zhou 	周	c=1 d=1 t=3524
zhou 	轴	c=6 d=1.03367 t=5926
zhou yi 	周一	c=1 d=1 t=5555
zhu ce 	注册	c=3 d=1.59986 t=4714
zhu ru 	注入	c=2 d=1 t=5013
zhu ti 	主体	c=5 d=2.95064 t=6006
zhu ti 	主题	c=1 d=1 t=6041
zhu xi tong 	主系统	c=1 d=1 t=3661
zhu yao 	主要	c=3 d=2.03891 t=3371
zhu ye mian 	主页面	c=1 d=1 t=3668
zhu yi li 	注意力	c=3 d=2.88391 t=392
zhua zhu 	抓住	c=1 d=1 t=367
zhuan 	转	c=3 d=1.09162 t=3043
zhuan wan 	转弯	c=1 d=1 t=3798
zhuan ye 	专业	c=1 d=1 t=3324
zhuan zai 	转载	c=1 d=1 t=3140
zhuan zhu li 	专注力	c=1 d=1 t=368
zhuang 	装	c=1 d=1 t=5479
zhuang tai 	状态	c=4 d=1.27139 t=4254
zhuang tai lan 	状态栏	c=1 d=1 t=5088
zhun 	准	c=1 d=1 t=6027
zhun bei 	准备	c=4 d=1.00242 t=4372
zhun bei hao 	准备好	c=1 d=1 t=67
zi 	子	c=2 d=1.00051 t=5135
zi 	字	c=2 d=1.0001 t=2051
zi a 	子啊	c=3 d=1.13144 t=5724
zi dai 	子代	c=1 d=1 t=5146
zi dong 	自动	c=5 d=1.00002 t=4374
zi dong hua 	自动化	c=1 d=1 t=1399
zi duan 	字段	c=1 d=1 t=604
zi ji 	自己	c=6 d=1.00667 t=4824
zi ji ding yi 	自己定义	c=1 d=1 t=3442
zi jian 	自建	c=1 d=1 t=1846
zi mu 	字母	c=2 d=1.97531 t=210
zi ti 	字体	c=4 d=1 t=5905
zi ti da 	字体大	c=1 d=1 t=2001
